user_name,cap-english,cap-universal,astroturf,fake_follower,financial,other,overall,self_declared,spammer
@mohamed35359481,0.923535423667034,0.8733944954488508,0.2,4.8,1.0,4.4,4.8,3.4,4.1
@EkLovya_kaushik,0.621687023966582,0.43650814830094437,1.2,0.5,0.0,2.3,0.8,0.0,0.2
@nagihamad,0.7966368747455678,0.7674214324358889,1.6,2.3,0.4,3.2,3.2,0.1,0.8
@nouraaljarrah,0.7965971518887632,0.7437205366967014,0.0,1.4,0.2,3.2,3.2,0.6,0.6
@MardomPesare,0.9307543294922915,0.8169336709169681,1.1,2.9,0.4,4.9,4.9,0.5,0.8
@emiratesrc,0.7966368747455678,0.8115094045580712,0.6,1.2,0.2,3.2,3.2,1.7,0.2
@fdb24,0.8287549877594508,0.6945161422354588,0.4,1.4,0.0,4.2,4.2,0.3,0.4
@majidyadollahz1,0.8748575042966269,0.8193478253485871,2.0,3.0,0.2,4.6,4.6,3.4,0.2
@psrx,0.795728227940139,0.8006881983123656,1.8,1.6,0.1,2.7,2.1,0.2,0.5
@emiratesrc,0.7966368747455678,0.8115094045580712,0.6,1.2,0.2,3.2,3.2,1.7,0.2
@MrTech02,0.7967206940193189,0.49449072748283696,1.0,1.0,0.1,3.3,3.3,0.2,0.1
@itshud__,0.8670116134145492,0.7089830786080018,0.6,1.0,0.0,4.5,4.5,0.0,0.0
@kija_mazeni,0.8595061719862279,0.8082278383974655,1.0,2.5,0.1,4.4,4.4,0.2,0.8
@Mohsentinaa,0.8199148539199458,0.8252572897541253,0.3,3.2,0.6,4.1,4.1,3.6,1.4
@ll_67ll,0.8199148539199458,0.859576255252869,0.2,2.0,0.6,4.1,4.1,2.6,1.5
@Legend7716,0.7968624754031172,0.8023863559365568,0.9,2.6,0.6,3.4,3.4,2.0,1.8
@bahadorany,0.8100783815308749,0.7966241294741505,2.2,1.6,0.0,4.0,4.0,2.3,0.2
@bibilibo,0.8595061719862279,0.799570188835745,2.6,2.6,0.2,4.4,4.4,0.6,0.3
@Mahsai74,0.8287549877594508,0.8057684213303521,1.1,2.7,0.0,4.2,4.2,1.0,1.1
@YousufSab,0.7998362042473794,0.49449072748283696,0.4,0.9,0.0,3.6,3.6,0.6,0.1
@54Ech,0.8199148539199458,0.8052176344738626,0.4,1.8,0.4,4.1,4.1,0.9,1.4
@msboojari,0.8021481695167405,0.23332432370635456,0.8,0.8,0.4,3.8,3.8,0.1,0.3
@ll_67ll,0.8199148539199458,0.859576255252869,0.2,2.0,0.6,4.1,4.1,2.6,1.5
@majidyadollahz1,0.8748575042966269,0.8193478253485871,2.0,3.0,0.2,4.6,4.6,3.4,0.2
@Ahmed__AlAmeeri,0.7546218700467833,0.31739450135566455,0.0,1.2,0.2,2.2,1.3,0.0,0.8
@hamidreza_main,0.7989890411370751,0.6415870166679795,2.5,2.4,0.1,3.6,3.6,0.0,0.0
@Kevinds0uza,0.36264564124632276,0.7828265255249504,0.5,0.3,0.0,1.0,0.3,0.0,0.2
@MardomPesare,0.9307543294922915,0.8169336709169681,1.1,2.9,0.4,4.9,4.9,0.5,0.8
@ll_67ll,0.8199148539199458,0.859576255252869,0.2,2.0,0.6,4.1,4.1,2.6,1.5
