date,person,translation,.polarity,p/n,Place
Fri Apr 30 15:49:09 +0000 2021,ll_67ll,اللهم اجبر خاطري جبرًا أنت وليّه.. فإنه لايعجزك شيئًا في الأرض ولا في السماء، ربي اشرح صدري وأرح قلبي وأزح من قلبي… https://t.co/OSyJOYHJKU,0.0,0.0,Abu Dhabi
Fri Apr 30 15:49:12 +0000 2021,NasrtullahWisal,@Muhamma76424963 @MusakhilNoor @KamilLala6 @MkJawHer @Yousafadil6 همداسی دهمه هم انفالو کول شورع کړی دی ورورجان لا… https://t.co/7HwyJfgYNJ,0.0,0.0,Abu Dhabi
Fri Apr 30 15:49:13 +0000 2021,MardomPesare,@inotherhand 🖤⚘,0.0,0.0,جمهوری اسلامی ایران
Fri Apr 30 15:49:15 +0000 2021,bibilibo,@callmehniw اسمش #رضا_پهلوانی عه تو استیج شبکه #منوتو بود,0.0,0.0,Islamic Republic of Iran
Fri Apr 30 15:49:16 +0000 2021,Jayney_M,It’s been a while ..... https://t.co/0VaM1GfL02,0.0,0.0,Doha
Fri Apr 30 15:49:17 +0000 2021,ll_67ll,اللهم حبب الينا الايمان وزينه في قلوبنا وكره الينا الكفر والفسوق والعصيان♥️.,0.0,0.0,Abu Dhabi
Fri Apr 30 15:49:22 +0000 2021,MSherif9810,@drahmedelnagga3 @Nadaaa237 ♥️♥️♥️♥️♥️♥️♥️♥️♥️,0.0,0.0,Abu Dhabi
Fri Apr 30 15:49:25 +0000 2021,salemms_,@kittyxbanks pleaaaase 😭😭😭😭,0.0,0.0,Abu Dhabi
Fri Apr 30 15:49:33 +0000 2021,ll_67ll,اللهم في يوم الجمعة بشرنا بكل دعوة تسكن قلوبنا 🕊 .,0.0,0.0,Abu Dhabi
Fri Apr 30 15:49:39 +0000 2021,M__itha,Hiding my heart,0.0,0.0,Abu Dhabi
Fri Apr 30 15:49:47 +0000 2021,ll_67ll,اللهُم إنها ثالث جمعة في رمضان ‌فإرزقنا اللهُم سعادة تمكث طويلاًوتنسينا أي هم وتحقق أمانينا .💛💭,0.0,0.0,Abu Dhabi
Fri Apr 30 15:49:47 +0000 2021,A1aaL3,@ihr3_ كلهم حلوين بس هذه تدغدغ القلب والبطن والروح وكل شي 🥺💘 https://t.co/gHwtA1Znf3,0.0,0.0,الدوحة
